OBJECTID,Address,Place_Type,long,lat
6300,1795 Mt Rushmore Dr,SF,-121.802598,37.348718
6301,1795 Orlando Dr,SF,-121.834227,37.331658
6306,1795 Parkdale Way,SF,-121.810709,37.345136
6310,1795 Quimby Rd,MH,-121.822382,37.329679
6365,1796 Cathay Dr,SF,-121.82972,37.334695
6381,1796 Loyola Dr,SF,-121.834398,37.334832
6388,1796 Orlando Dr,SF,-121.833797,37.331931
6390,1796 Quimby Rd,MH,-121.822253,37.329782
6431,1797 Lido Way,MF,-121.843239,37.342679
6435,1797 Loyola Dr,SF,-121.834742,37.335207
6440,1797 Mt Pleasant Rd,SF,-121.798006,37.350867
6442,1797 Ocala Ave,SF,-121.83251,37.332853
6445,1797 Quimby Rd,MH,-121.822124,37.32985
6446,1797 Rigoletto Dr,SF,-121.821094,37.319782
6450,1797 Tampa Way,SF,-121.835643,37.330532
6451,1797 Terilyn Ave,SF,-121.839162,37.328246
6486,1798 Hillmont Ave,SF,-121.814958,37.343532
6489,1798 Karl St,SF,-121.826287,37.337016
6490,1798 Kyra Cir,SF,-121.814657,37.314185
6491,1798 La Porte Ave,SF,-121.83384,37.334218
6500,1798 Parkdale Way,SF,-121.810108,37.345238
6503,1798 Quimby Rd,MH,-121.821953,37.329952
6509,1798 S Capitol Ave,SF,-121.818906,37.342782
6511,1798 Tampa Way,SF,-121.835171,37.330839
6534,1798 Terilyn Ave,SF,-121.838733,37.328485
